date,ShortRate,ShortRate_Change,PolicyRate,PolicyRate_Change,RealGDP,RealGDP_Log,RealGDP_Log_Change,GDP Deflator_logged,GDP Deflators CPI Proxy,CPI,CPI Log Growth Rate
1990Q1,14.460666666666667,-0.03689999999999927,14.88,0.0,379458.0,12.846499197756472,0.005152158256823469,4.095356351458568,0.01775916479184403,1.34357005758158,-0.2687398449947606
1990Q2,14.474133333333333,0.013466666666666072,14.88,0.0,381997.0,12.853168034154733,0.006668836398260325,4.110865642222103,0.0155092907635348,3.9772727272727297,1.085266046715211
1990Q3,14.284866666666666,-0.1892666666666667,14.88,0.0,377831.0,12.842202284680125,-0.010965749474607378,4.141794335720619,0.03092869349851668,1.45719489981785,-1.0040830538468573
1990Q4,12.960033333333334,-1.3248333333333324,13.88,-1.0,375916.0,12.837120993158264,-0.005081291521861431,4.152075157531066,0.010280821810447094,1.97486535008975,0.30398693270077315
1991Q1,12.091666666666667,-0.8683666666666667,13.046666666666667,-0.8333333333333339,374060.0,12.832171491336991,-0.004949501821272406,4.170018819970876,0.017943662439809493,0.7042253521126959,-1.0311570904723106
1991Q2,10.886466666666665,-1.2052000000000014,11.546666666666667,-1.5,373608.0,12.830962398383795,-0.001209092953196489,4.186245896094606,0.0162270761237302,3.321678321678319,1.5511270453878745
1991Q3,10.070366666666667,-0.8160999999999987,10.713333333333333,-0.8333333333333339,372878.0,12.82900656737637,-0.001955831007425246,4.196460459551786,0.01021456345717997,1.18443316412858,-1.03120585613744
1991Q4,10.069566666666667,-0.0007999999999999119,10.38,-0.33333333333333215,373357.0,12.830290345451068,0.0012837780746988159,4.208170388614213,0.011709929062426738,1.17056856187291,-0.011774736544519993
1992Q1,9.942733333333335,-0.12683333333333202,10.38,0.0,373317.0,12.830183203646108,-0.00010714180496051995,4.2187551504408605,0.010584761826647693,0.495867768595042,-0.8589355644674123
1992Q2,9.484166666666667,-0.4585666666666679,10.046666666666667,-0.3333333333333339,372751.0,12.828665915386633,-0.001517288259474725,4.222790239816368,0.004035089375507894,2.1381578947368403,1.461390644858099
1992Q3,9.175433333333332,-0.3087333333333344,9.546666666666667,-0.5,374537.0,12.833445875457034,0.004779960070401046,4.221716136036573,-0.0010741037797954434,0.0,-inf
1992Q4,6.5242,-2.651233333333332,7.213333333333334,-2.333333333333333,377418.0,12.841108605532805,0.007662730075770341,4.2272684389810635,0.005552302944490606,0.644122383252819,inf
1993Q1,5.343633333333333,-1.1805666666666674,5.88,-1.333333333333334,379370.0,12.846267261137385,0.005158655604580176,4.246794194084894,0.01952575510383081,0.32,-0.6995677483628695
1993Q2,5.2188,-0.12483333333333313,5.88,0.0,381045.0,12.850672757370594,0.004405496233209405,4.243513485315051,-0.003280708769842988,1.27591706539075,1.3830994702233717
1993Q3,5.137433333333333,-0.08136666666666681,5.88,0.0,384524.0,12.859761484705485,0.009088727334891189,4.2539625724175565,0.010449087102505139,0.31496062992126,-1.3989728193796613
1993Q4,4.903766666666667,-0.23366666666666625,5.546666666666667,-0.33333333333333304,387143.0,12.866549412804192,0.0067879280987064305,4.264432852351258,0.010470279933701754,0.313971742543171,-0.0031446566794726127
1994Q1,4.831733333333333,-0.07203333333333362,5.213333333333334,-0.33333333333333304,391026.0,12.876529332920414,0.009979920116222729,4.2691249849959965,0.004692132644738223,0.469483568075118,0.4023303093027947
1994Q2,4.8667,0.03496666666666659,5.13,-0.08333333333333393,394588.0,12.88559746156592,0.00906812864550588,4.264470836679188,-0.004654148316808104,1.24610591900312,0.9761454036993025
1994Q3,5.475866666666666,0.609166666666666,5.296666666666667,0.16666666666666696,398566.0,12.895628384577796,0.010030923011875359,4.267294664542645,0.002823827863456252,0.0,-inf
1994Q4,5.689533333333333,0.21366666666666756,5.796666666666667,0.5,400279.0,12.899917082950047,0.004288698372251432,4.281105415925793,0.013810751383148023,0.461538461538462,inf
1995Q1,6.136299999999999,0.4467666666666661,6.463333333333334,0.666666666666667,402390.0,12.905177046564246,0.0052599636141987816,4.2838733368071145,0.002767920881321828,0.612557427258806,0.2830773060650324
1995Q2,6.436966666666667,0.3006666666666673,6.63,0.16666666666666607,403259.0,12.907334314399279,0.0021572678350327834,4.291743793587956,0.007870456780841195,1.5220700152206998,0.9101838426659746
